,morality,leadership,caring,knowledgable,intelligent,honest,angry,hopeful,afraid,proud,voting_intention
0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,-1.0,1.0,-1.0,1.0
1,3.0,1.0,1.0,3.0,3.0,1.0,4.0,-1.0,1.0,-1.0,1.0
2,1.0,2.0,1.0,3.0,4.0,2.0,4.0,-1.0,4.0,-1.0,1.0
3,3.0,3.0,1.0,3.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
4,4.0,2.0,1.0,2.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0
5,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-1.0,-1.0,-1.0,-1.0,1.0
6,3.0,3.0,2.0,3.0,4.0,3.0,4.0,-1.0,-1.0,-1.0,1.0
7,1.0,1.0,1.0,1.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
8,2.0,3.0,1.0,4.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
10,4.0,3.0,2.0,3.0,4.0,3.0,-1.0,4.0,4.0,-1.0,0.0
12,3.0,-8.0,2.0,2.0,-8.0,4.0,4.0,-1.0,-1.0,-1.0,0.0
14,5.0,4.0,4.0,4.0,4.0,4.0,-1.0,4.0,-1.0,2.0,1.0
15,5.0,3.0,3.0,5.0,5.0,3.0,-1.0,3.0,-1.0,4.0,1.0
16,5.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,-1.0,2.0,1.0
17,2.0,2.0,2.0,2.0,3.0,1.0,2.0,-1.0,-1.0,-1.0,1.0
20,2.0,4.0,3.0,4.0,4.0,2.0,-1.0,-1.0,4.0,4.0,0.0
22,2.0,3.0,2.0,5.0,4.0,3.0,-1.0,-1.0,-1.0,-1.0,1.0
24,3.0,3.0,3.0,3.0,3.0,3.0,-1.0,4.0,-1.0,-1.0,0.0
25,2.0,2.0,1.0,5.0,3.0,1.0,4.0,-1.0,4.0,-1.0,0.0
26,5.0,4.0,4.0,5.0,5.0,3.0,-1.0,1.0,-1.0,4.0,1.0
